Town,Name,Season,Location,Rarity,Currency,Sell Price,MP,HP
Sun Haven,Acorn Anchovy,Fall,Sea,Uncommon,Gold,18,20,
Sun Haven,Angel Fish,Any,Sea,Rare,Gold,54,15,
Sun Haven,Autumn Leaf  Fish,Fall,Wilderness,Epic,Gold,216,,40
Sun Haven,Autumn Leaf  Fish,Fall,Farm,Epic,Gold,216,,40
Sun Haven,Autumn Leaf  Fish,Fall,Town ,Epic,Gold,216,,40
Sun Haven,Autumn Leaf  Fish,Fall,Forest,Epic,Gold,216,,40
Sun Haven,Averagemouth Bass,Any,Wilderness,Common,Gold,22,,15
Sun Haven,Averagemouth Bass,Any,Forest,Forest,Gold,22,,15
Sun Haven,Bashful Pike,Any,Sea,Common,Gold,23,,10
Sun Haven,Bitterling,Any,Wilderness,Common,Gold,18,,
Sun Haven,Bitterling,Any,Farm,Common,Gold,18,,
Sun Haven,Bitterling,Any,Town ,Common,Gold,18,,
Sun Haven,Bitterling,Any,Forest,Common,Gold,18,,
Sun Haven,Black Bass,Any,Wilderness,Uncommon,Gold,32,,10
Sun Haven,Black Bass,Any,Farm,Uncommon,Gold,32,,10
Sun Haven,Black Bass,Any,Town ,Uncommon,Gold,32,,10
Sun Haven,Black Bass,Any,Forest,Uncommon,Gold,32,,10
Sun Haven,Blazeel,Summer,Sea,Rare,Gold,60,,35
Sun Haven,Blazing Herring,Winter,Sea,Epic,Gold,180,,40
Sun Haven,Blooming Bass,Spring,Sea,Common,Gold,16,10,
Sun Haven,Blue Gill,Any ,Wilderness,Common,Gold,23,10,
Sun Haven,Blue Gill,Any ,Farm,Common,Gold,23,10,
Sun Haven,Blue Gill,Any ,Town ,Common,Gold,23,10,
Sun Haven,Blue Gill,Any ,Forest,Common,Gold,23,10,
Sun Haven,Blue Tang,Any,Sea,Common,Gold,22,,10
Sun Haven,Blunted Swordfish,Any,Sea,Rare,Gold,78,,19
Sun Haven,Bomb Fish,Any,Sea,Epic,Gold,30,,
Sun Haven,Bucketfish,Any,Sewer,Rare,Gold,50,,
Sun Haven,Butterflyfish,Spring,Sea,Uncommon,Gold,24,,20
Sun Haven,Carp,Any,Wilderness,Rare,Gold,54,,19
Sun Haven,Carp,Any,Farm,Rare,Gold,54,,19
Sun Haven,Carp,Any,Town ,Rare,Gold,54,,19
Sun Haven,Carp,Any,Forest,Rare,Gold,54,,19
Sun Haven,Catfish,Any,Wilderness,Uncommon,Gold,28,10,
Sun Haven,Catfish,Any,Farm,Uncommon,Gold,28,10,
Sun Haven,Catfish,Any,Town ,Uncommon,Gold,28,10,
Sun Haven,Catfish,Any,Forest,Uncommon,Gold,28,10,
Sun Haven,Christmas Lightfish,Winter,Wilderness,Legendary,Gold,1300,,50
Sun Haven,Christmas Lightfish,Winter,Farm,Legendary,Gold,1300,,50
Sun Haven,Christmas Lightfish,Winter,Town ,Legendary,Gold,1300,,50
Sun Haven,Christmas Lightfish,Winter,Forest,Legendary,Gold,1300,,50
Sun Haven,Chromafin,Any,Wilderness,Legendary,Gold,800,45,
Sun Haven,Chromafin,Any,Farm,Legendary,Gold,800,45,
Sun Haven,Chromafin,Any,Town ,Legendary,Gold,800,45,
Sun Haven,Chromafin,Any,Forest,Legendary,Gold,800,45,
Sun Haven,Clown Fish,Any,Sea,Uncommon,Gold,29,10,
Sun Haven,Coalfish,Winter,Wilderness,Common,Gold,20,10,
Sun Haven,Coalfish,Winter,Farm,Common,Gold,20,10,
Sun Haven,Coalfish,Winter,Town ,Common,Gold,20,10,
Sun Haven,Coalfish,Winter,Forest,Common,Gold,20,10,
Sun Haven,Coducopia,Fall,Wilderness,Legendary,Gold,810,,80
Sun Haven,Coducopia,Fall,Farm,Legendary,Gold,810,,80
Sun Haven,Coducopia,Fall,Town,Legendary,Gold,810,,80
Sun Haven,Coducopia,Fall,Forest,Legendary,Gold,810,,80
Sun Haven,Crab,Any,Sea,Common,Gold,23,,10
Sun Haven,Cuddlefish,Any,Sea,Rare,Gold,60,16,
Sun Haven,Dorado,Any,Wilderness,Common,Gold,20,10,
